SAP+NOME,UF,Semana,Ano,preço2,Mg %,Margem Líquida Real %,Preço,Vendas Reais Qtde,Vendas Reais $,Margem Líquida Real $,Venda Líquida Real $,CMV,CMV/QTD
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AC,39,2017,4.99,0.472826086956522,47.2826086956522,4.99,1.0,4.99,1.74,3.68,1.94,1.94
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AC,41,2017,4.99,0.472826086956522,47.2826086956522,4.99,1.0,4.99,1.74,3.68,1.94,1.94
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AC,44,2017,5.99,0.520987654320988,52.0987654320988,5.49,2.0,10.98,4.22,8.1,3.88,1.94
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AC,45,2017,5.99,0.522811344019729,52.2811344019729,5.49,2.0,10.98,4.24,8.11,3.87,1.935
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AC,47,2017,5.99,0.5214438580056515,52.144385800565146,5.49,5.0,27.450000000000003,10.57,20.26,9.69,1.938
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,1,2017,4.74,0.4823303224477445,48.23303224477445,4.74,7.0,33.93,12.290000000000001,24.73,12.44,1.7771428571428571
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,1,2018,5.99,0.5625,56.25,5.49,1.0,5.49,2.25,4.0,1.75,1.75
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,2,2017,4.99,0.5114090978399469,51.140909783994694,4.99,10.0,49.900000000000006,18.55,36.36,17.810000000000002,1.7810000000000001
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,2,2018,3.99,0.353130749599383,35.313074959938305,3.99,3.0,11.97,3.12,8.709999999999999,5.59,1.8633333333333333
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,3,2017,4.99,0.507185714115752,50.7185714115752,4.99,9.0,44.91,16.64,32.730000000000004,16.09,1.7877777777777777
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,3,2018,3.99,0.398625429553265,39.8625429553265,3.99,3.0,11.97,3.4799999999999995,8.73,5.25,1.75
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,4,2017,4.99,0.4993836333781158,49.93836333781159,4.954285714285715,28.0,138.72,50.46,101.05000000000001,50.59,1.8067857142857144
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,4,2018,3.99,0.3982806046848895,39.82806046848895,3.99,4.0,15.96,4.63,11.63,7.0,1.75
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,5,2017,4.156666666666667,0.3751674005077273,37.51674005077273,4.156666666666667,19.0,72.81,18.64,53.0,34.36,1.808421052631579
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,5,2018,5.99,0.5231484962406014,52.31484962406015,5.49,2.0,10.98,4.18,7.99,3.8099999999999996,1.9049999999999998
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,6,2017,2.99,0.17703840854172478,17.70384085417248,2.99,38.0,113.62,14.65,82.69,68.04,1.7905263157894737
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,6,2018,5.99,0.515,51.5,5.49,2.0,10.98,4.12,8.0,3.88,1.94
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,7,2017,3.49,0.26979722248869825,26.979722248869827,3.49,26.0,79.74000000000001,11.879999999999999,58.07,46.19,1.7765384615384614
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,7,2018,5.99,0.5224009591326104,52.24009591326105,5.49,8.0,43.92,16.7,31.990000000000002,15.29,1.91125
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,8,2017,4.323333333333333,0.39584051737092096,39.5840517370921,4.323333333333333,6.0,23.94,6.69,17.439999999999998,10.75,1.7916666666666667
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AL,8,2018,3.9900000000000007,0.33737261510533856,33.737261510533855,3.9900000000000007,10.0,39.900000000000006,9.84,29.05,19.21,1.921
